"날아오다",""
"날짜",""
"날카롭다",""
"낡다",""
"남",""
"남","男"
"남","南"
"남기다",""
"남녀","男女"
"남다",""
"남대문","南大門"
"남대문시장","南大門市場"
"남동생","男-"
"남매","男妹"
"남미","南美"
"남부","南部"
"남북","南北"
"남산","南山"
"남성","男性"
"남자","男子"
"남쪽","南-"
"남편","男便"
"남학생","男學生"
"납득하다","納得-"
"낫다","병이 ~"
"낫다","더 좋다"
"낭비","浪費"
"낮",""
"낮다",""
"낮아지다",""
"낮추다",""
"낯설다",""
"낱말","단어"
"낳다",""
"내","內"
"내과","內科"
"내내",""
"내년","來年"
"내놓다",""
"내다","참아 ~"
"내다","길을 ~"
"내다보다",""
"내달","來-"
"내려가다",""
"내려놓다",""
"내려다보다",""
"내려오다",""
"내려지다",""
"내리다","눈이 ~"
"내밀다",""
"내버리다",""
"내보내다",""
"내부","內部"
"내쉬다",""
"내외","內外.안팎"
"내외","內外.남녀"
"내용","內容"
"내용물","內容物"
"내일","來日"
"내일","來日"
"내적","內的"
"내주다",""
"내지","乃至"
"내후년","來後年"
"냄비",""
"냄새",""
"냇물",""
"냉동","冷凍"
"냉면","冷麵"
"냉방","冷房"
"냉장고","冷藏庫"
"너",""
"너머",""
"너무",""
"너무나",""
"너희",""
"넉","~ 달"
"넉넉하다",""
"널리",""
"넓다",""
"넓어지다",""
"넓히다",""
"넘겨주다",""
"넘기다",""
"넘다",""
"넘어가다",""
"넘어뜨리다",""
"넘어서다",""
"넘어오다",""
"넘어지다",""
"넘치다",""
"넣다",""
"네",""
"네",""
"네거리",""
"넥타이","necktie"
"넷",""
"넷째",""
"넷째",""
"녀석",""
"년","年"
"년대","年代"
"년도","年度"
"년생80","年生. 80~"
"노동","勞動"
"노동자","勞動者"
"노란색","-色"
"노랗다",""
"노래",""
"노래방","-房"
"노래하다",""
"노랫소리",""
"노력","努力"
"노력하다","努力-"
"노선","路線"
"노인","老人"
"노트","note"
"녹다",""
"녹색","綠色"
"녹음","錄音"
"녹음하다","錄音-"
"녹이다",""
"녹차","綠茶"
"녹화","錄畵"
"논",""
"논리","論理"
"논리적","論理的"
"논문","論文"
"논의하다","論議-"
"논쟁","論爭"
"논하다","論-"
"놀다",""
"놀라다",""
"놀랍다",""
"놀리다","흉을 보다"
"놀이",""
"놀이터",""
"놈",""
"농구","籠球"
"농담","弄談"
"농민","農民"
"농부","農夫"
"농사","農事"
"농사일","農事-"
"농사짓다","農事-"
"농산물","農産物"
"농업","農業"
"농장","農場"
"농촌","農村"
"높다",""
"높아지다",""
"높이",""
"높이",""
"높이다",""
"놓다",""
"놓다",""
"놓아두다",""
"놓이다",""
"놓치다",""
"놔두다","놓아두다"
"뇌","腦"
"누구",""
"누나",""
"누르다","힘을 가하다"
"눈","신체의 일부"
"눈","~이 내리다"
"눈가",""
"눈감다",""
"눈길","~을 피하다"
"눈동자","-瞳子"
"눈뜨다",""
"눈물",""
"눈병","-病"
"눈부시다",""
"눈빛","~이 매섭다"
"눈썹",""
"눈앞",""
"눕다",""
"뉴스","news"
"뉴욕","New York"
"느껴지다",""
"느끼다","추위를 ~"
"느낌",""
"느리다",""
"늑대","동물"
"늘",""
"늘다",""
"늘리다",""
"늘어나다",""
